"Population"	"Units"	"Date"	"Age"	"Ethnic Grou"	"region"	"Highest Level of Qualification"	"value type"	"value"	"flag"
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Level 2 qualifications"	"number"	2129	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Apprenticeship"	"number"	141	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Level 3 qualifications"	"number"	1653	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Level 4 qualifications and above"	"number"	5311	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Other qualifications"	"number"	1724	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"East Midlands"	"No qualifications"	"number"	1391	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"East Midlands"	"Level 1 qualifications"	"number"	1660	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"East Midlands"	"Level 2 qualifications"	"number"	2138	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"East Midlands"	"Apprenticeship"	"number"	105	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"East Midlands"	"Level 3 qualifications"	"number"	1565	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"East Midlands"	"Level 4 qualifications and above"	"number"	5086	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"East Midlands"	"Other qualifications"	"number"	1318	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"West Midlands"	"No qualifications"	"number"	3574	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"West Midlands"	"Level 1 qualifications"	"number"	4074	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"West Midlands"	"Level 2 qualifications"	"number"	4669	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"West Midlands"	"Apprenticeship"	"number"	249	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"West Midlands"	"Level 3 qualifications"	"number"	3576	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"West Midlands"	"Level 4 qualifications and above"	"number"	9875	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"West Midlands"	"Other qualifications"	"number"	2529	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"East"	"No qualifications"	"number"	1263	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"East"	"Level 1 qualifications"	"number"	2107	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"East"	"Level 2 qualifications"	"number"	2950	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"East"	"Apprenticeship"	"number"	201	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"East"	"Level 3 qualifications"	"number"	2291	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"East"	"Level 4 qualifications and above"	"number"	9258	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"East"	"Other qualifications"	"number"	2040	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"London"	"No qualifications"	"number"	14820	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"London"	"Level 1 qualifications"	"number"	20749	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"London"	"Level 2 qualifications"	"number"	23603	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"London"	"Apprenticeship"	"number"	1375	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"London"	"Level 3 qualifications"	"number"	19292	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"London"	"Level 4 qualifications and above"	"number"	73642	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"London"	"Other qualifications"	"number"	14349	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"South East"	"No qualifications"	"number"	1513	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"South East"	"Level 1 qualifications"	"number"	2767	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"South East"	"Level 2 qualifications"	"number"	3506	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"South East"	"Apprenticeship"	"number"	244	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"South East"	"Level 3 qualifications"	"number"	2795	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"South East"	"Level 4 qualifications and above"	"number"	11550	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"South East"	"Other qualifications"	"number"	2568	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"South West"	"No qualifications"	"number"	1120	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"South West"	"Level 1 qualifications"	"number"	1252	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"South West"	"Level 2 qualifications"	"number"	1291	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"South West"	"Apprenticeship"	"number"	116	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"South West"	"Level 3 qualifications"	"number"	987	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"South West"	"Level 4 qualifications and above"	"number"	3165	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"South West"	"Other qualifications"	"number"	1145	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"Wales"	"No qualifications"	"number"	599	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"Wales"	"Level 1 qualifications"	"number"	431	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"Wales"	"Level 2 qualifications"	"number"	439	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"Wales"	"Apprenticeship"	"number"	27	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"Wales"	"Level 3 qualifications"	"number"	333	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"Wales"	"Level 4 qualifications and above"	"number"	1791	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"Wales"	"Other qualifications"	"number"	461	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"North East"	"No qualifications"	"number"	460	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"North East"	"Level 1 qualifications"	"number"	190	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"North East"	"Level 2 qualifications"	"number"	134	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"North East"	"Apprenticeship"	"number"	7	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"North East"	"Level 3 qualifications"	"number"	176	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"North East"	"Level 4 qualifications and above"	"number"	1095	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"North East"	"Other qualifications"	"number"	579	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"North West"	"No qualifications"	"number"	2121	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"North West"	"Level 1 qualifications"	"number"	996	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"North West"	"Level 2 qualifications"	"number"	807	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"North West"	"Apprenticeship"	"number"	37	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"North West"	"Level 3 qualifications"	"number"	723	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"North West"	"Level 4 qualifications and above"	"number"	4295	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"North West"	"Other qualifications"	"number"	2426	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"Yorkshire and The Humber"	"No qualifications"	"number"	2276	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"Yorkshire and The Humber"	"Level 1 qualifications"	"number"	959	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"Yorkshire and The Humber"	"Level 2 qualifications"	"number"	693	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"Yorkshire and The Humber"	"Apprenticeship"	"number"	49	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"Yorkshire and The Humber"	"Level 3 qualifications"	"number"	700	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"Yorkshire and The Humber"	"Level 4 qualifications and above"	"number"	3722	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"Yorkshire and The Humber"	"Other qualifications"	"number"	2097	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"East Midlands"	"No qualifications"	"number"	1240	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"East Midlands"	"Level 1 qualifications"	"number"	521	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"East Midlands"	"Level 2 qualifications"	"number"	416	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"East Midlands"	"Apprenticeship"	"number"	22	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"East Midlands"	"Level 3 qualifications"	"number"	402	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"East Midlands"	"Level 4 qualifications and above"	"number"	2682	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"East Midlands"	"Other qualifications"	"number"	1513	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"West Midlands"	"No qualifications"	"number"	2155	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"West Midlands"	"Level 1 qualifications"	"number"	1082	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"West Midlands"	"Level 2 qualifications"	"number"	834	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"West Midlands"	"Apprenticeship"	"number"	52	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"West Midlands"	"Level 3 qualifications"	"number"	847	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"West Midlands"	"Level 4 qualifications and above"	"number"	4023	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"West Midlands"	"Other qualifications"	"number"	2081	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"East"	"No qualifications"	"number"	893	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"East"	"Level 1 qualifications"	"number"	592	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"East"	"Level 2 qualifications"	"number"	565	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"East"	"Apprenticeship"	"number"	44	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"East"	"Level 3 qualifications"	"number"	628	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"East"	"Level 4 qualifications and above"	"number"	3135	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"East"	"Other qualifications"	"number"	1632	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"London"	"No qualifications"	"number"	7185	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"London"	"Level 1 qualifications"	"number"	4736	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"London"	"Level 2 qualifications"	"number"	4446	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"London"	"Apprenticeship"	"number"	273	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"London"	"Level 3 qualifications"	"number"	4613	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"London"	"Level 4 qualifications and above"	"number"	29037	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"London"	"Other qualifications"	"number"	10780	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"South East"	"No qualifications"	"number"	935	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"South East"	"Level 1 qualifications"	"number"	856	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"South East"	"Level 2 qualifications"	"number"	874	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"South East"	"Apprenticeship"	"number"	56	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"South East"	"Level 3 qualifications"	"number"	886	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"South East"	"Level 4 qualifications and above"	"number"	5060	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Other ethnic group"	"South East"	"Other qualifications"	"number"	2264	""
